Question,Answer
Comment vendre mon smartphone à CertiDeal ?,"Pour vendre votre Smartphone à CertiDeal, c'est très simple !
 

Nous vous expliquons ci-dessous les étapes à effectuer :

 

1. Complétez ce formulaire : https://certideal.com/vendre-mon-smartphone

 

2. Supprimez les données de votre appareil en le réinitialisant, et retirez le compte iCloud.

 

          Si vous rencontrez des difficultés pour retirer le compte iCloud de votre téléphone, nous vous expliquons comment procéder ici : https://faq.certideal.com/fr/articles/2321567

 

Attention ! Nous ne pourrons racheter votre appareil s'il est toujours connecté à votre compte iCloud.

 

3. Préparez votre colis, et envoyez-le gratuitement grâce au bon d'envoi Chronopost que nous vous avons transmis par mail.

 

         Si vous voulez plus de conseils pour préparer votre envoi, nous vous invitons à consulter la page suivante : https://faq.certideal.com/fr/articles/5391797

 

4. Une fois votre appareil reçu dans nos locaux, nos équipes techniques vérifient que le téléphone est bien conforme au regard des critères que vous avez renseignés (modèle, état, capacité).

    

Dès que les tests sont effectués et que le téléphone est déclaré conforme, nous procédons au paiement de la reprise de votre appareil ! A contrario, si votre appareil n'est pas déclaré conforme au vu des critères renseignés, nous reviendrons vers vous dans les plus brefs délais avec une contre-proposition adaptée."
Est-ce que je dois acheter un téléphone CertiDeal pour revendre mon ancien appareil ?,"Si vous êtes sur le point d'acheter un nouvel appareil sur notre site, nous vous proposons de revendre votre ancien produit lors de votre parcours d'achat.

 

Cependant, Notre offre de reprise n'est pas conditionnée à l'achat d'un nouvel appareil, vous pouvez donc y accéder sans passer commande chez nous. CertiDeal vous proposera un prix correspondant aux critères que vous avez renseignés (modèle, état, capacité).

 

Pour accéder à notre offre de reprise de votre appareil, nous vous invitons à cliquer sur le lien suivant : https://certideal.com/vendre-mon-smartphone

 

Pour plus d'informations, nous vous invitons à consulter la page suivante de notre FAQ : https://faq.certideal.com/fr/articles/2321552"
"Mon bon d'envoi Chronopost a expiré, comment en avoir un nouveau ?","Si votre bon d'envoi Chronopost a expiré, nous vous invitons à compléter de nouveau le formulaire de reprise pour votre téléphone grâce au lien suivant : https://certideal.com/vendre-mon-smartphone

 

Une fois le formulaire complété à nouveau, vous recevrez un mail automatique comportant un nouveau bon d'envoi Chronopost prépayé. Grâce à ce nouveau bon, vous pourrez procéder à l'envoi de votre téléphone gratuitement. 

 

Si toutefois vous ne recevez pas votre bon Chronopost, nous vous invitons à nous contacter par mail à l'adresse suivante : reprise@certideal.com afin que l'on vous apporte une solution au plus vite. "
Comment obtenir le paiement de ma reprise ?,"Pour que le paiement de la reprise de votre téléphone soit effectué, il est nécessaire que vous fournissiez deux pièces justificatives :
- Un RIB
- Une pièce d'identité en cours de validité, au nom de votre compte client CertiDeal
Vous pouvez renseigner ces documents depuis votre espace client CertiDeal, dans la rubrique « Informations bancaires »


Attention ! Pour que vos pièces justificatives soient prises en compte, il est nécessaire que les photos soient nettes, en couleur, et montrent les documents en entier.
Si vous rencontrez la moindre difficulté pour les télécharger sur votre espace client, nous vous invitons à nous les transmettre directement par mail, à l'adresse suivante : reprise@certideal.com
Nous serons ravis de vous aider !

"
Comment renseigner correctement l'état de mon appareil dans le formulaire de reprise ?,"Afin de nous vendre votre smartphone, il est nécessaire que vous renseignez le formulaire de reprise disponible sur la page suivante : https://certideal.com/vendre-mon-smartphone

 

Ce formulaire contient quatre questions liées à la capacité de stockage et à l'état de votre téléphone. 

 

1) Quelle est sa capacité de stockage ?

 

Pour connaître la capacité de stockage de votre téléphone, nous vous invitons à vous rendre dans réglages > général > informations. Les capacités de stockage disponibles sur un téléphone sont les suivantes : 32 Go ; 64 Go ; 128 Go ; 256 Go ; 512 Go. 

 

2) Quel est l'état de votre écran ?

 

Il existe trois états différents pour l'écran de votre téléphone : 

Si l?écran de votre téléphone ne présente aucune rayure et aucun défaut, il est en ""Parfait état"". 

Si certaines rayures sont visibles lors de l'utilisation ou à moins de 20 centimètres, l'écran de votre téléphone est en état ""Usure normale"". 

Si des rayures ou des impacts sont aisément visibles sur votre téléphone, nous vous invitons à renseigner l'état de l'écran de votre téléphone comme étant en ""Usure prononcée"". Si l?écran est cassé ou présente des problèmes d'affichage, il est également en état ""Usure prononcée"". 

3) Quel est l?état de la coque de votre appareil ? 

 

Il existe trois états différents pour la coque de votre appareil : 

Si la coque de votre appareil ne présente aucune rayure ou aucun défaut, elle est en ""Parfait état"". 

Si certaines rayures sont visibles lors de l?utilisation ou à moins de 20 centimètres, l'écran de votre appareil est en état ""Usure normale"". 

Si des rayures ou des impacts sont aisément visibles sur votre appareil, nous vous invitons à renseigner l?état de la coque de votre appareil comme étant en ""Usure prononcée"". Si la coque est cassée, elle est également en état ""Usure prononcée"". 

4) Votre smartphone est-il fonctionnel ? 

 

Si votre appareil fonctionne parfaitement, nous vous invitons à répondre ""oui"". 

 

Si votre téléphone présente un ou plusieurs dysfonctionnements, nous vous invitons à répondre ""non""."
D?où viennent les iPhones reconditionnés par CertiDeal ?,"Notre service achat s'approvisionne auprès d'opérateurs qui reprennent des smartphones n'ayant connu qu'un seul et unique propriétaire. Chacun des produits reconditionnés mis à la vente sur notre site est alors récupéré physiquement par nos soins et suit dans nos locaux un processus d'homologation fonctionnelle : vérification, test et validation.

Nos experts sont ainsi les premiers à intervenir techniquement sur le produit, que nous reconditionnons nous-mêmes en interne, sans autre intermédiaire."
Pourquoi acheter un iPhone reconditionné ?,"Le principal avantage de l'achat d'un iPhone reconditionné reste l'économie réalisée par rapport à un modèle neuf disponible à un prix exorbitant. L""iPhone reconditionné est moins cher et tout aussi fonctionnel.

Mais acheter reconditionné revient aussi à faire un geste écologique : acheter un nouveau téléphone neuf représente la même dépense d'énergie que de le recharger et de l'utiliser pendant dix ans.

En somme, acheter reconditionné, c'est être économe pour son portefeuille et pour la planète."
Quelles sont les différences entre un iPhone reconditionné et un iPhone neuf ?,"Le prix. Un iPhone reconditionné est 30 à 70% moins cher qu'un iPhone neuf. Cet écart de prix s'explique parce que l'iPhone reconditionné a déjà connu un propriétaire avant sa seconde vie.

Mais la principale différence est au niveau de l'état esthétique. Un iPhone reconditionné, selon son grade, peut comporter des rayures plus ou moins visibles.

En revanche, aucun pépin au niveau fonctionnel puisque l'iPhone reconditionné marche aussi bien qu'un iPhone neuf. C'est pourquoi on dit qu'il est « remis à neuf »."
Puis-je bénéficier de la remise Free tout au long de l'année?,"En souscrivant un forfait mobile Free, vous pourrez bénéficier de la remise de 5% minimum sur l'achat de votre smartphone CertiDeal à tout moment de l'année, dans la limite d'un smartphone par an et par forfait."
Vous êtes déjà abonnés à un forfait Mobile Free : comment bénéficier des -5 % de remise minimum ?,"Si vous êtes abonné mobile Forfait Free ou Série Free, vous bénéficiez de tarifs exclusifs sur CertiDeal.

 

Pour profiter de l'offre, il suffit de vous connecter sur votre espace Abonné mobile Free, rubrique Mon compte > Mon avantage.

Vous serez redirigé sur le site dédié CertiDeal avec Free, qui intègre automatiquement une remise de -5 % minimum sur tous les produits du site.

 

Si vous n'êtes pas encore abonné mobile Free, vous pouvez aussi bénéficier de l'offre exclusive CertiDeal avec Free Pour cela :

Choisissez votre smartphone incluant les 5 % de remise minimum sur abonnés.certideal.com et valider votre panier sur CertiDeal.

Validez votre panier et payez votre smartphone sur CertiDeal

Après le paiement, vous serez redirigé automatiquement sur le site mobile Free pour souscrire votre forfait.

Une fois la souscription Free finalisée, votre commande CertiDeal est validée et votre mobile est expédié !

 

Qu'est-ce que CertiDeal?

 

CertiDeal est le spécialiste du smartphone reconditionné en France. 
Les avantages : 

Jusqu'à 70 % moins cher que les produits neufs

Garantie 24 mois sur tous les produits 

Validation et test des produits : 30 points de contrôle testés sur chaque appareil 

Reconditionné en France

Notre équipe est disponible pour répondre à toutes vos questions par mail à l'adresse free@certideal.com ou à prendre un rendez-vous via https://calendly.com/free-certideal."
Vous n'êtes pas abonnés à un forfait Mobile Free : comment bénéficier des -5 % de remise minimum ?,"Si vous n'êtes pas encore abonnés Mobile Free, vous pouvez bénéficier de l'offre exclusive CertiDeal avec Free. Pour cela :

Choisissez votre smartphone incluant les -5 % de remise minimum sur le site offre-free.certideal.com

Ajoutez-le au panier et finalisez votre commande sur CertiDeal

Après finalisation de votre commande, vous serez redirigés automatiquement sur le site Mobile Free pour souscrire votre forfait

Une fois la souscription Free finalisée, votre commande CertiDeal est validée et votre mobile est expédié !"
Qui est CertiDeal?,"CertiDeal est le site e-commerce leader de vente de smartphones reconditionnés en France
Lancé fin 2015, CertiDeal a déjà convaincu plus de 500,000 clients d'acheter un smartphone plus respectueux pour la planète, et figure, pour la troisième fois, sur la liste des FT120 (FrenchTech 120)
CertiDeal se différencie par un laboratoire d'experts internalisés qui permet de tester chaque produit avec une certification unique en Europe et de proposer une garantie exceptionnelle de 24 mois sur tous leurs produits.
Ce leader sur le marché du smartphone reconditionné est implanté en Espagne, Italie, et Belgique, Suède, et Portugal."
